id,name,specialty,schedule
1,nguyễn văn a,nội tiết,"thứ 2,4,6: 08h-11h"
2,lê thị b,da liễu,"thứ 3,5,7: 13h-16h"
3,trần văn c,tai mũi họng,"thứ 2,3,5: 09h-12h"
4,phạm thị d,tim mạch,"thứ 4,6: 14h-17h"
5,hoàng văn e,nhi khoa,"thứ 2,7: 08h-12h"
6,đỗ thị f,nội tổng quát,"thứ 3,5: 07h-10h"
7,vũ văn g,ngoại thần kinh,"thứ 2,4,6: 13h-16h"
8,ngô thị h,sản phụ khoa,"thứ 3,5,7: 09h-12h"
9,bùi văn i,chấn thương chỉnh hình,"thứ 2,4: 14h-17h"
10,đặng thị k,mắt,"thứ 3,6: 08h-11h"
11,nguyễn văn l,hô hấp,"thứ 2,5,7: 13h-16h"
12,lê thị m,tiêu hóa,"thứ 4,6: 09h-12h"
13,trần văn n,thận học,"thứ 2,3,5: 08h-11h"
14,phạm thị o,da liễu,"thứ 3,7: 14h-17h"
15,hoàng văn p,nội tiết,"thứ 2,4,6: 07h-10h"
16,đỗ thị q,tim mạch,"thứ 3,5: 13h-16h"
17,vũ văn r,tai mũi họng,"thứ 2,4,7: 09h-12h"
18,ngô thị s,nhi khoa,"thứ 3,6: 08h-11h"
19,bùi văn t,ngoại tổng quát,"thứ 2,5: 14h-17h"
20,đặng thị u,sản phụ khoa,"thứ 3,7: 07h-10h"
21,nguyễn văn v,huyết học,"thứ 2,4,6: 13h-16h"
22,lê thị x,da liễu,"thứ 3,5,7: 09h-12h"
23,trần văn y,chấn thương chỉnh hình,"thứ 2,4: 08h-11h"
24,phạm thị z,mắt,"thứ 3,6: 14h-17h"
25,hoàng văn aa,nội tổng quát,"thứ 2,5,7: 07h-10h"
26,đỗ thị ab,ngoại thần kinh,"thứ 3,4,6: 13h-16h"
27,vũ văn ac,tiêu hóa,"thứ 2,5: 09h-12h"
28,ngô thị ad,thận học,"thứ 3,7: 08h-11h"
29,bùi văn ae,nội tiết,"thứ 2,4,6: 14h-17h"
30,đặng thị af,sản phụ khoa,"thứ 3,5: 07h-10h"
31,nguyễn văn ag,tim mạch,"thứ 2,4,7: 13h-16h"
32,lê thị ah,tai mũi họng,"thứ 3,6: 09h-12h"
33,trần văn ai,nhi khoa,"thứ 2,5: 08h-11h"
34,phạm thị ak,da liễu,"thứ 3,7: 14h-17h"
35,hoàng văn al,hô hấp,"thứ 2,4,6: 07h-10h"
36,đỗ thị am,tiêu hóa,"thứ 3,5: 13h-16h"
37,vũ văn an,thận học,"thứ 2,4,7: 09h-12h"
38,ngô thị ap,ngoại tổng quát,"thứ 3,6: 08h-11h"
39,bùi văn aq,chấn thương chỉnh hình,"thứ 2,5: 14h-17h"
40,đặng thị ar,mắt,"thứ 3,7: 07h-10h"
41,nguyễn văn as,nội tiết,"thứ 2,4,6: 13h-16h"
42,lê thị at,da liễu,"thứ 3,5,7: 09h-12h"
43,trần văn au,tai mũi họng,"thứ 2,4: 08h-11h"
44,phạm thị av,tim mạch,"thứ 3,6: 14h-17h"
45,hoàng văn ax,nhi khoa,"thứ 2,5,7: 07h-10h"
46,đỗ thị ay,ngoại thần kinh,"thứ 3,4,6: 13h-16h"
47,vũ văn az,tiêu hóa,"thứ 2,5: 09h-12h"
48,ngô thị ba,thận học,"thứ 3,7: 08h-11h"
49,bùi văn bb,nội tổng quát,"thứ 2,4,6: 14h-17h"
50,đặng thị bc,sản phụ khoa,"thứ 3,5: 07h-10h"
